Boundarynumber	Year	Dayofyear	Hour	Minute	Second	Orbitnumber	XMSO(km)	YMSO(km)	ZMSO(km)
6.0	2012.0	187.0	16.0	22.0	55.0	1038.0	-2626.781	4383.483	-4636.104
7.0	2012.0	187.0	17.0	22.0	36.0	1038.0	-2371.362	2623.068	-9611.989
8.0	2012.0	187.0	17.0	39.0	48.0	1038.0	-2138.6	1905.897	-10522.491
1.0	2012.0	187.0	22.0	21.0	55.0	1039.0	2462.823	-6073.453	-2789.363
2.0	2012.0	187.0	22.0	31.0	29.0	1039.0	2408.145	-5696.596	-1761.228
3.0	2012.0	187.0	22.0	57.0	25.0	1039.0	1849.856	-3736.729	1181.822
4.0	2012.0	187.0	23.0	0.0	55.0	1039.0	1702.492	-3319.356	1559.129
5.0	2012.0	188.0	0.0	5.0	32.0	1039.0	-2301.811	4411.556	-2509.445
6.0	2012.0	188.0	0.0	19.0	48.0	1039.0	-2525.87	4454.843	-4277.128
7.0	2012.0	188.0	1.0	24.0	51.0	1039.0	-2302.354	2572.957	-9740.357
8.0	2012.0	188.0	1.0	59.0	40.0	1039.0	-1806.743	1067.715	-11336.454
1.0	2012.0	188.0	6.0	24.0	11.0	1040.0	2355.979	-6036.509	-2554.897
2.0	2012.0	188.0	6.0	34.0	7.0	1040.0	2290.773	-5606.779	-1473.752
3.0	2012.0	188.0	6.0	49.0	28.0	1040.0	2033.14	-4562.319	277.22
4.0	2012.0	188.0	7.0	1.0	50.0	1040.0	1608.489	-3233.126	1650.833
5.0	2012.0	188.0	7.0	59.0	42.0	1040.0	-2081.698	4320.245	-1714.208
6.0	2012.0	188.0	8.0	24.0	33.0	1040.0	-2493.936	4451.027	-4809.506
7.0	2012.0	188.0	9.0	56.0	17.0	1040.0	-1841.572	1252.51	-11213.121
8.0	2012.0	188.0	9.0	56.0	25.0	1040.0	-1839.556	1246.524	-11218.061
1.0	2012.0	188.0	14.0	35.0	39.0	1041.0	2184.032	-5563.355	-1306.545
2.0	2012.0	188.0	14.0	37.0	24.0	1041.0	2165.067	-5464.802	-1109.531
3.0	2012.0	188.0	14.0	56.0	27.0	1041.0	1761.453	-3910.617	1066.734
4.0	2012.0	188.0	14.0	59.0	22.0	1041.0	1656.892	-3573.757	1386.591
5.0	2012.0	188.0	16.0	7.0	42.0	1041.0	-2199.637	4514.42	-2784.263
6.0	2012.0	188.0	16.0	14.0	26.0	1041.0	-2312.66	4554.007	-3631.571
7.0	2012.0	188.0	17.0	23.0	29.0	1041.0	-2232.35	2708.461	-9657.117
8.0	2012.0	188.0	17.0	30.0	32.0	1041.0	-2155.813	2415.144	-10050.783
1.0	2012.0	188.0	22.0	16.0	26.0	1042.0	2161.009	-6346.946	-3366.16
2.0	2012.0	188.0	22.0	34.0	27.0	1042.0	2103.544	-5663.972	-1445.081
3.0	2012.0	188.0	22.0	54.0	32.0	1042.0	1755.92	-4147.579	847.691
4.0	2012.0	188.0	22.0	57.0	20.0	1042.0	1669.727	-3843.237	1160.775
5.0	2012.0	189.0	0.0	6.0	45.0	1042.0	-2106.118	4537.4	-2656.023
6.0	2012.0	189.0	0.0	13.0	12.0	1042.0	-2219.652	4589.535	-3476.143
7.0	2012.0	189.0	1.0	29.0	57.0	1042.0	-2122.884	2477.359	-10017.582
8.0	2012.0	189.0	1.0	37.0	28.0	1042.0	-2039.387	2155.023	-10403.359
1.0	2012.0	189.0	6.0	38.0	57.0	1043.0	1970.092	-5442.842	-942.376
2.0	2012.0	189.0	6.0	40.0	16.0	1043.0	1955.284	-5359.989	-792.553
3.0	2012.0	189.0	6.0	56.0	1.0	1043.0	1647.246	-4020.482	1010.563
4.0	2012.0	189.0	7.0	0.0	50.0	1043.0	1489.172	-3450.228	1535.592
5.0	2012.0	189.0	8.0	7.0	56.0	1043.0	-2054.567	4586.711	-2805.898
6.0	2012.0	189.0	8.0	13.0	31.0	1043.0	-2148.86	4626.351	-3511.088
9.0	2012.0	189.0	8.0	41.0	28.0	1043.0	-2342.582	4246.877	-6514.003
10.0	2012.0	189.0	20.0	14.0	3.0	1045.0	358.492	-4679.084	-11348.514
1.0	2012.0	189.0	22.0	25.0	12.0	1045.0	1854.817	-6174.833	-2467.138
2.0	2012.0	189.0	22.0	28.0	12.0	1045.0	1849.779	-6057.048	-2144.832
3.0	2012.0	189.0	22.0	54.0	24.0	1045.0	1556.335	-4251.542	820.956
4.0	2012.0	189.0	22.0	56.0	46.0	1045.0	1497.54	-3994.897	1086.629
5.0	2012.0	190.0	0.0	6.0	57.0	1045.0	-1884.437	4637.501	-2669.594
6.0	2012.0	190.0	0.0	13.0	56.0	1045.0	-2002.579	4695.593	-3554.357
7.0	2012.0	190.0	1.0	25.0	19.0	1045.0	-2038.637	2781.391	-9754.962
8.0	2012.0	190.0	1.0	25.0	27.0	1045.0	-2037.587	2775.809	-9762.57
1.0	2012.0	190.0	6.0	28.0	17.0	1046.0	1751.048	-6083.697	-2139.759
2.0	2012.0	190.0	6.0	29.0	23.0	1046.0	1748.855	-6036.818	-2020.242
3.0	2012.0	190.0	6.0	55.0	56.0	1046.0	1453.202	-4114.917	989.837
4.0	2012.0	190.0	7.0	0.0	7.0	1046.0	1343.161	-3621.724	1448.826
5.0	2012.0	190.0	8.0	1.0	21.0	1046.0	-1686.862	4548.212	-1915.076
6.0	2012.0	190.0	8.0	16.0	16.0	1046.0	-1957.7	4729.982	-3833.401
7.0	2012.0	190.0	9.0	24.0	57.0	1046.0	-1996.186	2831.767	-9732.077
8.0	2012.0	190.0	9.0	53.0	12.0	1046.0	-1745.921	1584.718	-11088.169
1.0	2012.0	190.0	14.0	18.0	31.0	1047.0	1643.563	-6447.854	-3173.283
2.0	2012.0	190.0	14.0	31.0	29.0	1047.0	1646.514	-5970.212	-1794.117
3.0	2012.0	190.0	14.0	50.0	17.0	1047.0	1491.206	-4708.526	342.932
4.0	2012.0	190.0	14.0	58.0	22.0	1047.0	1330.486	-3861.815	1255.876
5.0	2012.0	190.0	16.0	1.0	46.0	1047.0	-1622.122	4585.955	-1967.951
6.0	2012.0	190.0	16.0	12.0	58.0	1047.0	-1834.313	4754.999	-3427.523
7.0	2012.0	190.0	17.0	27.0	36.0	1047.0	-1932.745	2753.981	-9879.932
8.0	2012.0	190.0	17.0	32.0	4.0	1047.0	-1901.067	2562.242	-10121.327
1.0	2012.0	190.0	22.0	23.0	27.0	1048.0	1550.16	-6321.997	-2664.257
2.0	2012.0	190.0	22.0	30.0	51.0	1048.0	1550.669	-6026.663	-1867.673
3.0	2012.0	190.0	22.0	53.0	11.0	1048.0	1370.566	-4456.402	671.257
4.0	2012.0	190.0	22.0	55.0	31.0	1048.0	1328.408	-4211.952	935.57
5.0	2012.0	191.0	0.0	5.0	35.0	1048.0	-1628.766	4699.382	-2477.435
6.0	2012.0	191.0	0.0	17.0	22.0	1048.0	-1816.815	4790.52	-3957.158
7.0	2012.0	191.0	1.0	33.0	0.0	1048.0	-1853.317	2554.309	-10168.391
8.0	2012.0	191.0	1.0	45.0	56.0	1048.0	-1756.294	1978.1	-10785.388
1.0	2012.0	191.0	6.0	20.0	48.0	1049.0	1441.112	-6432.362	-2945.226
2.0	2012.0	191.0	6.0	30.0	9.0	1049.0	1453.384	-6083.669	-1948.107
3.0	2012.0	191.0	6.0	47.0	59.0	1049.0	1365.265	-4961.776	70.268
4.0	2012.0	191.0	6.0	52.0	30.0	1049.0	1308.86	-4548.906	589.567
5.0	2012.0	191.0	8.0	14.0	11.0	1049.0	-1696.411	4817.244	-3569.783
6.0	2012.0	191.0	8.0	20.0	4.0	1049.0	-1770.707	4810.451	-4269.978
7.0	2012.0	191.0	9.0	26.0	6.0	1049.0	-1851.005	2883.165	-9792.233
8.0	2012.0	191.0	9.0	41.0	0.0	1049.0	-1759.836	2231.601	-10561.336
1.0	2012.0	191.0	14.0	20.0	50.0	1050.0	1337.004	-6454.25	-2945.338
2.0	2012.0	191.0	14.0	26.0	51.0	1050.0	1351.827	-6245.538	-2309.562
3.0	2012.0	191.0	14.0	47.0	43.0	1050.0	1287.595	-5007.896	35.798
4.0	2012.0	191.0	14.0	53.0	50.0	1050.0	1217.546	-4437.524	737.977
5.0	2012.0	191.0	16.0	6.0	19.0	1050.0	-1489.038	4762.712	-2566.577
6.0	2012.0	191.0	16.0	17.0	5.0	1050.0	-1656.846	4847.809	-3916.446
7.0	2012.0	191.0	17.0	13.0	38.0	1050.0	-1850.526	3425.957	-9028.491
8.0	2012.0	191.0	17.0	29.0	3.0	1050.0	-1790.402	2788.592	-9954.721
1.0	2012.0	191.0	22.0	28.0	32.0	1051.0	1253.936	-6199.186	-2131.455
2.0	2012.0	191.0	22.0	33.0	3.0	1051.0	1257.62	-5992.609	-1636.094
3.0	2012.0	191.0	22.0	49.0	31.0	1051.0	1191.911	-4874.435	239.668
4.0	2012.0	191.0	22.0	51.0	49.0	1051.0	1169.381	-4660.882	504.084
5.0	2012.0	191.0	23.0	59.0	41.0	1051.0	-1273.428	4612.378	-1664.646
6.0	2012.0	192.0	0.0	8.0	57.0	1051.0	-1458.22	4826.94	-2905.574
7.0	2012.0	192.0	1.0	17.0	7.0	1051.0	-1786.575	3318.127	-9250.925
8.0	2012.0	192.0	1.0	24.0	20.0	1051.0	-1763.749	3020.167	-9687.604
1.0	2012.0	192.0	6.0	21.0	13.0	1052.0	1129.468	-6483.274	-2912.391
2.0	2012.0	192.0	6.0	24.0	21.0	1052.0	1141.61	-6380.138	-2583.368
3.0	2012.0	192.0	6.0	46.0	58.0	1052.0	1130.175	-5113.312	-57.91
4.0	2012.0	192.0	6.0	50.0	55.0	1052.0	1102.188	-4767.226	397.313
5.0	2012.0	192.0	8.0	5.0	38.0	1052.0	-1321.051	4794.398	-2468.959
6.0	2012.0	192.0	8.0	14.0	12.0	1052.0	-1460.403	4894.303	-3561.359
7.0	2012.0	192.0	9.0	40.0	28.0	1052.0	-1652.578	2344.52	-10532.264
8.0	2012.0	192.0	9.0	42.0	14.0	1052.0	-1644.108	2264.655	-10614.512
1.0	2012.0	192.0	14.0	30.0	54.0	1053.0	1059.471	-6134.647	-1880.159
2.0	2012.0	192.0	14.0	32.0	40.0	1053.0	1063.018	-6051.057	-1685.477
3.0	2012.0	192.0	14.0	50.0	43.0	1053.0	1026.739	-4805.404	370.915
4.0	2012.0	192.0	14.0	51.0	54.0	1053.0	1018.223	-4693.012	506.804
5.0	2012.0	192.0	16.0	1.0	50.0	1053.0	-1169.0	4719.609	-1953.706
6.0	2012.0	192.0	16.0	9.0	56.0	1053.0	-1317.032	4883.646	-3024.602
7.0	2012.0	192.0	17.0	8.0	37.0	1053.0	-1685.352	3710.704	-8683.363
8.0	2012.0	192.0	17.0	12.0	45.0	1053.0	-1683.358	3551.382	-8964.481
1.0	2012.0	192.0	22.0	31.0	55.0	1054.0	963.359	-6104.591	-1771.779
2.0	2012.0	192.0	22.0	35.0	11.0	1054.0	970.728	-5939.551	-1408.864
3.0	2012.0	192.0	22.0	47.0	7.0	1054.0	964.484	-5138.87	-47.547
4.0	2012.0	192.0	22.0	57.0	35.0	1054.0	896.761	-4103.628	1145.845
5.0	2012.0	193.0	0.0	4.0	49.0	1054.0	-1150.038	4815.908	-2353.183
6.0	2012.0	193.0	0.0	12.0	26.0	1054.0	-1275.945	4928.463	-3336.347
7.0	2012.0	193.0	1.0	5.0	0.0	1054.0	-1622.77	3873.626	-8424.415
8.0	2012.0	193.0	1.0	6.0	17.0	1054.0	-1623.886	3826.367	-8516.789
1.0	2012.0	193.0	6.0	29.0	44.0	1055.0	856.582	-6219.404	-2014.505
2.0	2012.0	193.0	6.0	33.0	9.0	1055.0	868.968	-6060.483	-1638.698
3.0	2012.0	193.0	6.0	52.0	3.0	1055.0	866.057	-4713.702	517.299
4.0	2012.0	193.0	6.0	55.0	0.0	1055.0	849.878	-4411.332	853.402
5.0	2012.0	193.0	8.0	3.0	10.0	1055.0	-1041.236	4791.958	-2127.919
6.0	2012.0	193.0	8.0	9.0	43.0	1055.0	-1154.839	4920.587	-2990.124
7.0	2012.0	193.0	9.0	5.0	30.0	1055.0	-1560.842	3882.401	-8458.629
8.0	2012.0	193.0	9.0	5.0	37.0	1055.0	-1561.015	3878.112	-8467.038
1.0	2012.0	193.0	14.0	27.0	15.0	1056.0	743.819	-6335.72	-2286.781
2.0	2012.0	193.0	14.0	33.0	4.0	1056.0	770.848	-6078.839	-1651.172
3.0	2012.0	193.0	14.0	51.0	38.0	1056.0	791.295	-4769.683	466.295
4.0	2012.0	193.0	14.0	55.0	42.0	1056.0	775.379	-4350.761	929.25
5.0	2012.0	193.0	16.0	7.0	27.0	1056.0	-1038.682	4903.666	-2694.022
6.0	2012.0	193.0	16.0	11.0	25.0	1056.0	-1100.944	4957.9	-3202.543
7.0	2012.0	193.0	16.0	55.0	14.0	1056.0	-1468.943	4263.978	-7672.985
8.0	2012.0	193.0	17.0	3.0	43.0	1056.0	-1494.083	3973.31	-8326.818
1.0	2012.0	193.0	21.0	56.0	29.0	1057.0	408.433	-6942.9	-5305.818
2.0	2012.0	193.0	22.0	4.0	35.0	1057.0	477.371	-6885.342	-4570.25
3.0	2012.0	193.0	22.0	51.0	54.0	1057.0	714.082	-4758.483	493.645
4.0	2012.0	193.0	22.0	53.0	29.0	1057.0	711.37	-4600.914	674.78
5.0	2012.0	194.0	0.0	9.0	43.0	1057.0	-995.031	4954.922	-2983.534
6.0	2012.0	194.0	0.0	10.0	58.0	1057.0	-1013.935	4970.148	-3142.488
7.0	2012.0	194.0	1.0	2.0	20.0	1057.0	-1425.609	4047.612	-8222.276
8.0	2012.0	194.0	1.0	23.0	21.0	1057.0	-1462.909	3228.124	-9620.718
1.0	2012.0	194.0	6.0	33.0	42.0	1058.0	577.983	-6071.112	-1587.304
2.0	2012.0	194.0	6.0	37.0	4.0	1058.0	595.404	-5890.465	-1210.374
3.0	2012.0	194.0	6.0	47.0	53.0	1058.0	633.009	-5134.475	27.847
4.0	2012.0	194.0	6.0	50.0	8.0	1058.0	636.236	-4937.502	287.351
5.0	2012.0	194.0	8.0	2.0	5.0	1058.0	-787.906	4802.943	-1970.212
6.0	2012.0	194.0	8.0	9.0	27.0	1058.0	-910.711	4966.45	-2946.127
7.0	2012.0	194.0	9.0	11.0	6.0	1058.0	-1387.484	3747.037	-8844.735
8.0	2012.0	194.0	9.0	14.0	19.0	1058.0	-1395.184	3621.444	-9058.863
1.0	2012.0	194.0	14.0	14.0	57.0	1059.0	342.06	-6732.715	-3573.64
2.0	2012.0	194.0	14.0	21.0	5.0	1059.0	390.695	-6576.403	-2948.39
3.0	2012.0	194.0	14.0	45.0	21.0	1059.0	541.066	-5349.711	-267.651
4.0	2012.0	194.0	14.0	50.0	48.0	1059.0	558.144	-4888.003	360.912
5.0	2012.0	194.0	16.0	3.0	3.0	1059.0	-726.945	4843.469	-2098.274
6.0	2012.0	194.0	16.0	6.0	40.0	1059.0	-787.109	4932.004	-2581.298
7.0	2012.0	194.0	17.0	36.0	32.0	1059.0	-1375.357	2705.224	-10332.665
8.0	2012.0	194.0	18.0	23.0	46.0	1059.0	-1328.116	471.688	-12005.142
1.0	2012.0	194.0	21.0	58.0	53.0	1060.0	93.377	-6943.727	-5100.478
2.0	2012.0	194.0	22.0	17.0	17.0	1060.0	253.027	-6684.266	-3341.674
3.0	2012.0	194.0	22.0	48.0	18.0	1060.0	468.953	-5121.145	69.368
4.0	2012.0	194.0	22.0	52.0	17.0	1060.0	484.433	-4757.347	527.985
5.0	2012.0	194.0	23.0	58.0	51.0	1060.0	-574.521	4707.467	-1515.66
6.0	2012.0	195.0	0.0	8.0	14.0	1060.0	-731.306	4973.315	-2782.357
7.0	2012.0	195.0	0.0	59.0	55.0	1060.0	-1216.036	4199.651	-8033.094
8.0	2012.0	195.0	1.0	22.0	3.0	1060.0	-1301.563	3354.138	-9538.912
1.0	2012.0	195.0	6.0	13.0	28.0	1061.0	111.416	-6771.073	-3727.313
2.0	2012.0	195.0	6.0	18.0	34.0	1061.0	156.292	-6655.806	-3214.012
3.0	2012.0	195.0	6.0	49.0	19.0	1061.0	392.033	-5042.257	183.375
4.0	2012.0	195.0	6.0	52.0	5.0	1061.0	406.602	-4786.502	501.788
5.0	2012.0	195.0	8.0	7.0	28.0	1061.0	-639.187	4970.075	-2679.027
6.0	2012.0	195.0	8.0	11.0	35.0	1061.0	-699.086	5031.799	-3206.903
7.0	2012.0	195.0	9.0	27.0	22.0	1061.0	-1264.035	3152.204	-9844.933
8.0	2012.0	195.0	9.0	38.0	44.0	1061.0	-1291.924	2653.148	-10437.96
1.0	2012.0	195.0	14.0	23.0	58.0	1062.0	97.97	-6499.671	-2655.791
2.0	2012.0	195.0	14.0	24.0	18.0	1062.0	100.995	-6488.539	-2620.558
3.0	2012.0	195.0	15.0	4.0	47.0	1062.0	386.121	-3255.085	1880.423
4.0	2012.0	195.0	15.0	8.0	45.0	1062.0	388.444	-2626.576	2243.341
5.0	2012.0	195.0	15.0	45.0	26.0	1062.0	-167.937	3830.21	429.54
6.0	2012.0	195.0	16.0	7.0	24.0	1062.0	-557.609	4978.083	-2666.76
7.0	2012.0	195.0	18.0	39.0	32.0	1062.0	-1294.729	-230.354	-12283.919
8.0	2012.0	195.0	19.0	55.0	19.0	1062.0	-1085.941	-3775.627	-11895.764
1.0	2012.0	195.0	20.0	39.0	2.0	1063.0	-855.293	-5471.822	-10407.289
2.0	2012.0	195.0	21.0	17.0	51.0	1063.0	-587.66	-6552.749	-8276.748
3.0	2012.0	195.0	22.0	45.0	12.0	1063.0	192.956	-5392.582	-298.278
4.0	2012.0	195.0	22.0	52.0	19.0	1063.0	253.461	-4779.551	521.99
5.0	2012.0	195.0	23.0	57.0	41.0	1063.0	-325.705	4675.699	-1340.149
6.0	2012.0	196.0	0.0	1.0	8.0	1063.0	-381.751	4814.887	-1821.4
7.0	2012.0	196.0	2.0	34.0	24.0	1063.0	-1298.64	43.894	-12206.54
8.0	2012.0	196.0	2.0	44.0	40.0	1063.0	-1296.659	-458.613	-12346.989
1.0	2012.0	196.0	5.0	18.0	42.0	1064.0	-687.353	-6558.896	-8223.125
2.0	2012.0	196.0	5.0	44.0	2.0	1064.0	-486.673	-6913.72	-6373.993
3.0	2012.0	196.0	6.0	43.0	42.0	1064.0	90.347	-5507.166	-474.218
4.0	2012.0	196.0	6.0	54.0	48.0	1064.0	199.374	-4533.589	802.147
5.0	2012.0	196.0	7.0	59.0	14.0	1064.0	-274.2	4746.72	-1553.983
6.0	2012.0	196.0	8.0	15.0	47.0	1064.0	-508.899	5093.49	-3714.879
3.0	2012.0	196.0	14.0	34.0	36.0	1065.0	-101.57	-6060.701	-1509.815
4.0	2012.0	196.0	14.0	36.0	49.0	1065.0	-76.769	-5943.293	-1261.419
5.0	2012.0	196.0	15.0	59.0	25.0	1065.0	-199.821	4757.119	-1575.734
6.0	2012.0	196.0	16.0	8.0	50.0	1065.0	-334.574	5025.33	-2842.128
7.0	2012.0	196.0	21.0	23.0	10.0	1065.0	-869.034	-6619.047	-7928.169
8.0	2012.0	196.0	21.0	24.0	9.0	1065.0	-862.173	-6637.129	-7860.818
1.0	2012.0	196.0	21.0	30.0	18.0	1066.0	-817.916	-6739.457	-7427.092
2.0	2012.0	196.0	21.0	35.0	18.0	1066.0	-780.192	-6808.111	-7058.371
3.0	2012.0	196.0	22.0	29.0	59.0	1066.0	-254.424	-6272.522	-2022.434
4.0	2012.0	196.0	22.0	34.0	20.0	1066.0	-203.109	-6072.93	-1542.816
5.0	2012.0	197.0	0.0	0.0	21.0	1066.0	-135.763	4795.94	-1701.542
6.0	2012.0	197.0	0.0	6.0	28.0	1066.0	-220.939	4981.766	-2529.38
7.0	2012.0	197.0	2.0	0.0	41.0	1066.0	-1181.853	1744.424	-11344.766
8.0	2012.0	197.0	2.0	48.0	1.0	1066.0	-1323.654	-552.839	-12380.425
1.0	2012.0	197.0	5.0	29.0	14.0	1067.0	-934.766	-6707.995	-7506.082
2.0	2012.0	197.0	5.0	39.0	41.0	1067.0	-856.995	-6843.065	-6725.417
3.0	2012.0	197.0	6.0	30.0	28.0	1067.0	-350.336	-6248.182	-1972.802
4.0	2012.0	197.0	6.0	44.0	58.0	1067.0	-160.632	-5418.827	-338.295
5.0	2012.0	197.0	7.0	59.0	23.0	1067.0	-44.59	4757.728	-1563.1
6.0	2012.0	197.0	8.0	2.0	54.0	1067.0	-92.232	4886.548	-2047.776
7.0	2012.0	197.0	9.0	13.0	41.0	1067.0	-849.388	3823.389	-9000.261
8.0	2012.0	197.0	9.0	24.0	1.0	1067.0	-928.136	3409.864	-9643.085
1.0	2012.0	197.0	13.0	32.0	6.0	1068.0	-1023.82	-6734.529	-7300.548
2.0	2012.0	197.0	13.0	41.0	18.0	1068.0	-955.602	-6843.101	-6601.291
3.0	2012.0	197.0	14.0	39.0	32.0	1068.0	-328.221	-5780.773	-963.863
4.0	2012.0	197.0	14.0	46.0	54.0	1068.0	-219.701	-5269.708	-118.588
5.0	2012.0	197.0	15.0	56.0	11.0	1068.0	74.149	4606.447	-1107.393
6.0	2012.0	197.0	16.0	4.0	8.0	1068.0	-28.632	4924.385	-2210.725
7.0	2012.0	197.0	17.0	3.0	21.0	1068.0	-694.936	4215.865	-8274.488
8.0	2012.0	197.0	17.0	13.0	8.0	1068.0	-782.448	3859.341	-8961.793
1.0	2012.0	197.0	21.0	21.0	35.0	1069.0	-1200.009	-6535.433	-8041.828
2.0	2012.0	197.0	21.0	32.0	51.0	1069.0	-1128.178	-6726.935	-7247.767
3.0	2012.0	197.0	22.0	38.0	25.0	1069.0	-439.35	-5841.94	-1093.934
4.0	2012.0	197.0	22.0	50.0	14.0	1069.0	-249.796	-4988.723	262.759
5.0	2012.0	197.0	23.0	54.0	47.0	1069.0	165.917	4526.269	-902.705
6.0	2012.0	198.0	0.0	0.0	57.0	1069.0	91.168	4817.274	-1772.456
7.0	2012.0	198.0	1.0	34.0	23.0	1069.0	-903.188	3002.844	-10208.894
8.0	2012.0	198.0	1.0	44.0	18.0	1069.0	-980.173	2563.18	-10686.729
1.0	2012.0	198.0	5.0	29.0	13.0	1070.0	-1261.156	-6651.569	-7514.095
2.0	2012.0	198.0	5.0	45.0	22.0	1070.0	-1146.628	-6839.993	-6281.242
3.0	2012.0	198.0	6.0	55.0	46.0	1070.0	-225.867	-4446.131	892.246
4.0	2012.0	198.0	7.0	2.0	0.0	1070.0	-99.923	-3698.217	1574.793
5.0	2012.0	198.0	7.0	51.0	25.0	1070.0	275.197	4305.21	-411.105
6.0	2012.0	198.0	7.0	54.0	56.0	1070.0	238.159	4530.149	-919.967
7.0	2012.0	198.0	8.0	55.0	3.0	1070.0	-469.257	4508.084	-7625.369
8.0	2012.0	198.0	8.0	58.0	9.0	1070.0	-502.549	4411.494	-7872.803
1.0	2012.0	198.0	13.0	48.0	39.0	1071.0	-1231.828	-6838.881	-6014.16
2.0	2012.0	198.0	13.0	52.0	30.0	1071.0	-1199.188	-6851.671	-5689.453
3.0	2012.0	198.0	14.0	46.0	25.0	1071.0	-487.12	-5296.412	-184.606
4.0	2012.0	198.0	14.0	51.0	47.0	1071.0	-381.881	-4842.548	434.462
5.0	2012.0	198.0	15.0	49.0	54.0	1071.0	358.724	4185.239	-185.417
6.0	2012.0	198.0	15.0	55.0	35.0	1071.0	305.665	4560.856	-1008.741
7.0	2012.0	198.0	16.0	39.0	12.0	1071.0	-211.191	4920.929	-6222.367
8.0	2012.0	198.0	16.0	50.0	37.0	1071.0	-345.0	4645.279	-7254.174
1.0	2012.0	198.0	21.0	43.0	2.0	1072.0	-1387.252	-6779.352	-6474.29
2.0	2012.0	198.0	22.0	16.0	31.0	1072.0	-1056.722	-6628.072	-3455.939
3.0	2012.0	198.0	22.0	44.0	32.0	1072.0	-611.434	-5428.682	-405.346
4.0	2012.0	198.0	22.0	57.0	46.0	1072.0	-325.052	-4221.72	1109.64
5.0	2012.0	198.0	23.0	51.0	34.0	1072.0	414.703	4300.754	-423.837
6.0	2012.0	198.0	23.0	56.0	53.0	1072.0	368.104	4623.023	-1189.483
7.0	2012.0	199.0	1.0	10.0	44.0	1072.0	-502.229	3998.421	-8790.928
8.0	2012.0	199.0	1.0	10.0	52.0	1072.0	-503.723	3993.531	-8800.04
1.0	2012.0	199.0	5.0	18.0	42.0	1073.0	-1637.089	-6378.703	-8242.415
2.0	2012.0	199.0	5.0	18.0	48.0	1073.0	-1636.661	-6380.841	-8235.853
3.0	2012.0	199.0	6.0	48.0	12.0	1073.0	-622.342	-5142.216	14.097
4.0	2012.0	199.0	6.0	56.0	6.0	1073.0	-436.86	-4403.261	919.592
5.0	2012.0	199.0	7.0	53.0	2.0	1073.0	474.902	4391.486	-632.234
6.0	2012.0	199.0	7.0	56.0	45.0	1073.0	445.05	4608.252	-1165.978
7.0	2012.0	199.0	9.0	10.0	12.0	1073.0	-430.289	4027.541	-8751.895
8.0	2012.0	199.0	9.0	39.0	27.0	1073.0	-759.46	2844.922	-10454.29
1.0	2012.0	199.0	14.0	6.0	6.0	1074.0	-1401.079	-6741.233	-4477.493
2.0	2012.0	199.0	14.0	22.0	57.0	1074.0	-1182.803	-6433.255	-2801.277
3.0	2012.0	199.0	14.0	50.0	38.0	1074.0	-649.154	-4928.962	291.315
4.0	2012.0	199.0	14.0	56.0	0.0	1074.0	-512.324	-4409.243	904.809
5.0	2012.0	199.0	15.0	52.0	40.0	1074.0	549.235	4357.104	-574.382
6.0	2012.0	199.0	15.0	56.0	15.0	1074.0	524.589	4572.633	-1090.117
7.0	2012.0	199.0	16.0	26.0	44.0	1074.0	190.771	5102.517	-4936.941
8.0	2012.0	199.0	16.0	31.0	18.0	1074.0	132.764	5056.263	-5422.99
1.0	2012.0	199.0	22.0	3.0	47.0	1075.0	-1537.43	-6735.049	-4697.084
2.0	2012.0	199.0	22.0	5.0	2.0	1075.0	-1523.824	-6725.995	-4580.855
3.0	2012.0	199.0	22.0	53.0	43.0	1075.0	-649.0	-4635.498	641.655
4.0	2012.0	199.0	22.0	58.0	38.0	1075.0	-508.896	-4111.473	1195.217
5.0	2012.0	199.0	23.0	54.0	21.0	1075.0	611.788	4453.162	-812.79
6.0	2012.0	199.0	23.0	58.0	23.0	1075.0	584.465	4669.464	-1387.519
7.0	2012.0	200.0	0.0	31.0	59.0	1075.0	207.245	5045.958	-5489.979
8.0	2012.0	200.0	0.0	44.0	7.0	1075.0	47.355	4826.254	-6668.785
1.0	2012.0	200.0	5.0	0.0	46.0	1076.0	-1987.406	-5834.858	-9337.328
2.0	2012.0	200.0	5.0	39.0	41.0	1076.0	-1851.646	-6635.961	-6749.255
3.0	2012.0	200.0	6.0	48.0	10.0	1076.0	-877.848	-5114.844	-1.092
4.0	2012.0	200.0	6.0	57.0	41.0	1076.0	-607.168	-4213.882	1086.278
5.0	2012.0	200.0	7.0	45.0	54.0	1076.0	701.609	3777.265	422.31
6.0	2012.0	200.0	7.0	50.0	31.0	1076.0	699.14	4178.66	-251.557
7.0	2012.0	200.0	8.0	16.0	20.0	1076.0	487.46	5101.376	-3735.138
8.0	2012.0	200.0	9.0	56.0	1.0	1076.0	-824.327	2151.213	-11161.843
1.0	2012.0	200.0	14.0	21.0	21.0	1077.0	-1526.081	-6411.231	-2979.249
2.0	2012.0	200.0	14.0	24.0	35.0	1077.0	-1473.195	-6321.162	-2640.476
3.0	2012.0	200.0	14.0	48.0	15.0	1077.0	-960.626	-5095.389	4.602
4.0	2012.0	200.0	14.0	57.0	9.0	1077.0	-695.005	-4265.318	1022.993
5.0	2012.0	200.0	15.0	51.0	39.0	1077.0	766.333	4248.303	-411.683
6.0	2012.0	200.0	15.0	53.0	10.0	1077.0	762.543	4352.362	-631.894
